cycle,packet_type,block_index,sub_block_idx,segment_idx,last
592,0x80,12,3,2,false
593,0x80,12,3,3,false
595,0x80,12,3,4,true
597,0x80,13,0,0,false
598,0x80,13,0,1,false
599,0x80,13,0,2,false
600,0x80,13,0,3,false
602,0x80,13,0,4,true
604,0x80,14,0,0,false
605,0x80,14,0,1,false
606,0x80,14,0,2,false
607,0x80,14,0,3,false
609,0x80,14,0,4,true
611,0x80,14,1,0,false
612,0x80,14,1,1,false
613,0x80,14,1,2,false
614,0x80,14,1,3,false
616,0x80,14,1,4,true
618,0x80,14,2,0,false
619,0x80,14,2,1,false
620,0x80,14,2,2,false
621,0x80,14,2,3,false
623,0x80,14,2,4,true
625,0x80,14,3,0,false
626,0x80,14,3,1,false
627,0x80,14,3,2,false
628,0x80,14,3,3,false
630,0x80,14,3,4,true
632,0x80,15,0,0,false
633,0x80,15,0,1,false
634,0x80,15,0,2,false
635,0x80,15,0,3,false
637,0x80,15,0,4,true
639,0x80,15,1,0,false
640,0x80,15,1,1,false
641,0x80,15,1,2,false
642,0x80,15,1,3,false
644,0x80,15,1,4,true
646,0x80,15,2,0,false
647,0x80,15,2,1,false
648,0x80,15,2,2,false
649,0x80,15,2,3,false
651,0x80,15,2,4,true
653,0x80,15,3,0,false
654,0x80,15,3,1,false
655,0x80,15,3,2,false
656,0x80,15,3,3,false
658,0x80,15,3,4,true
