model_key,domain_wt2_miss_pct,domain_ptb_miss_pct,prompt_miss_pct,context_512_miss_pct,context_4096_miss_pct,segment_overlap_mean,segment_overlap_min,batch_overlap_mean,batch_overlap_min
qwen3_0_6b,17.88,17.85,17.49,19.34,17.22,0.946,0.940,0.965,0.955
llama2_7b,42.74,41.36,42.14,44.39,41.66,0.970,0.967,0.988,0.985
